EvID,Reaction,Particle,px,py,pz,p,E,TPC_dEdx,NsigmaElectron,NsigmaMuon,NsigmaPion,NsigmaKaon,NsigmaProton
5650,γγ → μ μ,muon,0.08723661302725975,0.07962179363987405,0.08248514205647649,0.1440612902030787,0.178265687486335,32.54412317889998,-6.028082287408454,-0.7716636321755737,-2.579342271339315,-8.678703761629414,-9.607999280675193
5651,γγ → μ μ,muon,-0.2242871235188527,-0.02833177156988944,-0.18360552826226773,0.29123597488139386,0.3095858411896705,28.674082877519375,-6.650585938380411,0.5855282927325519,-0.073961244147434,-6.365469764564144,-8.768106367645377
5651,γγ → μ μ,muon,0.2242871235188527,0.02833177156988944,0.18360552826226773,0.29123597488139386,0.3095858411896705,23.71464761406448,-7.229896609974066,-1.2453320881041163,-1.7907570992221857,-6.994093790403362,-8.98117322482165
5652,γγ → μ μ,muon,-0.13798635477953572,0.45747720640303524,0.3880495390682677,0.6155550935982613,0.6244462132600087,30.479282511513585,-6.595096235158496,1.6786225604625225,1.689531452361294,-1.23316472792932,-5.748800799808029
5652,γγ → μ μ,muon,0.13798635477953572,-0.45747720640303524,-0.3880495390682677,0.6155550935982613,0.6244462132600087,26.96802840817165,-6.987345702030558,0.3332296244143917,0.34288179737865426,-2.243115874605847,-6.23854463252979
5653,γγ → μ μ,muon,-0.1011874436526385,0.0691875313370533,0.09448376008693346,0.15476754881316956,0.18702404702507328,28.832971524713948,-6.497010641305292,-1.45508012016922,-2.9948658630349825,-8.673326403687662,-9.603534199232985
5653,γγ → μ μ,muon,0.1011874436526385,-0.0691875313370533,-0.09448376008693346,0.15476754881316956,0.18702404702507328,33.267868788021936,-5.958203952339637,-0.14075697599500842,-1.9173823928868348,-8.469266232624635,-9.542552448069747
5654,γγ → μ μ,muon,-0.6857832433368517,-0.36467797830219045,-0.21757702132930234,0.8066154256587932,0.8134208289137401,27.66652237292914,-6.95728104060944,0.49989654389839633,0.6027414242716472,-0.6202682991300471,-4.625950317793326
5654,γγ → μ μ,muon,0.6857832433368517,0.36467797830219045,0.21757702132930234,0.8066154256587932,0.8134208289137401,25.09242317159269,-7.240376268035716,-0.4770160923717153,-0.38373992182262934,-1.4929605571054865,-5.125953057871931
5655,γγ → μ μ,muon,-0.02813586074434588,-0.019730305285801653,0.08836286986595229,0.09480985379929333,0.14147052123125642,62.86093585340126,-2.118040687500144,2.4769075341625104,-1.0412894411739884,-8.796767754264696,-9.652317512670985
5655,γγ → μ μ,muon,0.02813586074434588,0.019730305285801653,-0.08836286986595229,0.09480985379929333,0.14147052123125642,50.743539390705905,-3.6374075978995015,0.071794833129483,-2.768216445394783,-9.028708974361646,-9.719338572489868
5656,γγ → μ μ,muon,-0.3886983457758438,0.5816222832174751,0.22364860202371756,0.7344314682331834,0.7418993068679532,26.368282485275927,-7.084366578751999,0.04749600545837424,0.12019716233515713,-1.4927822152897579,-5.399744269750115
5656,γγ → μ μ,muon,0.3886983457758438,-0.5816222832174751,-0.22364860202371756,0.7344314682331834,0.7418993068679532,28.88861899011153,-6.8056841370573835,1.0078570368940427,1.0875071249241022,-0.6796442511707598,-4.960042045875573
5657,γγ → μ μ,muon,-0.12656981543844947,0.043359685121419675,-0.1920721487463882,0.23407624996570348,0.2565476384572785,27.91175952342165,-6.695614552217042,-0.16781277359502172,-1.1192956340686153,-7.448915949486158,-9.184749264541745
5657,γγ → μ μ,muon,0.12656981543844947,-0.043359685121419675,0.1920721487463882,0.23407624996570348,0.2565476384572785,22.513853912806518,-7.3346556249683035,-2.0692772280123233,-2.8367510987751556,-7.942274703808477,-9.342412077425164
5658,γγ → μ μ,muon,0.070814188799455,-0.030950235042630468,0.011454809633968992,0.07812668589073389,0.13087696148776298,63.55021352892355,-1.9294874081905953,0.09330509617552694,-3.078658397423356,-9.147874125065776,-9.755222856269473
5658,γγ → μ μ,muon,-0.070814188799455,0.030950235042630468,-0.011454809633968992,0.07812668589073389,0.13087696148776298,61.48672425693097,-2.1915387094832384,-0.23442671821762323,-3.3033958664518845,-9.175542837784008,-9.763170823429128
5659,γγ → μ μ,muon,1.4511182140161125,0.8524233740195614,0.7203419146223193,1.8306452833866953,1.8336540441386302,27.753218595048963,-7.084910016475537,0.01125183696436827,0.20463371850542778,1.4083093175987786,-0.36984744041304013
5659,γγ → μ μ,muon,-1.4511182140161125,-0.8524233740195614,-0.7203419146223193,1.8306452833866953,1.8336540441386302,27.374267602438614,-7.1247135527400545,-0.12544487833360507,0.06529650744975105,1.2525367492711115,-0.5013405088276564
5660,γγ → μ μ,muon,-0.21678623270166675,-0.17340139285734593,-0.06058635962045207,0.28413908690271317,0.30291916529976703,27.507415381722577,-6.782023776816451,0.11307760204852677,-0.5522475966432105,-6.634409353613402,-8.86793973336147
5660,γγ → μ μ,muon,0.21678623270166675,0.17340139285734593,0.06058635962045207,0.28413908690271317,0.30291916529976703,28.50693160709995,-6.66509459959947,0.4805488824823995,-0.20895173661930766,-6.512116422330701,-8.826804912481057
5661,γγ → μ μ,muon,-0.12168523806262055,0.7765821973998179,-0.058374959733872425,0.7882225843025672,0.7951854138530319,27.166638127260548,-7.00829567666442,0.32097970945087345,0.41602562756349504,-0.8950990108565134,-4.856718058231749
5661,γγ → μ μ,muon,0.12168523806262055,-0.7765821973998179,0.058374959733872425,0.7882225843025672,0.7951854138530319,29.487156174784374,-6.752750480286626,1.2025764521805218,1.3057409960609188,-0.11737719753343337,-4.4173895512053205
5662,γγ → μ μ,muon,-0.13147096825891877,-0.5104717986193269,0.15298329670199487,0.5488806443575861,0.5588335724975719,23.229622092905615,-7.387505100278131,-1.0834195876264907,-1.122985500301636,-3.8969412839047073,-7.236205967165858
5662,γγ → μ μ,muon,0.13147096825891877,0.5104717986193269,-0.15298329670199487,0.5488806443575861,0.5588335724975719,26.152548221310788,-7.058781302181803,0.03853176221108832,-0.006012631796635078,-3.129008438801994,-6.8884445718322524
5663,γγ → μ μ,muon,-0.31758807044385967,-1.777628750323931,-1.5701120654917458,2.392922492407397,2.3952250530313908,28.5930200121059,-7.040170021409425,0.11952486117678576,0.321795809854079,1.84398360610259,0.6699853901606656
5663,γγ → μ μ,muon,0.31758807044385967,1.777628750323931,1.5701120654917458,2.392922492407397,2.3952250530313908,24.037832592642616,-7.511703992865316,-1.4926284657212423,-1.3225815381633552,-0.0428952579000762,-1.0298624466379203
